,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"AQUA AMERICA INC",MAR,WTR,WTR,"Wolverine Trading, LLC","NYSE","N",WTR,
"ARALEZ PHARM INC",MAR,ARLZ,ARLZ,"Citadel Securities LLC","NASDAQ","N",ARLZ,
"ARAMARK",JAN,ARMK,ARMK,"Wolverine Trading, LLC","NYSE","N",ARMK,
"ARATANA THERAPTCS CM",FEB,PETX,PETX,"Susquehanna Securities","NASDAQ","N",PETX,
"ARBOR REALTY TR",JAN,ABR,ABR,"Wolverine Trading, LLC","NYSE","N",ABR,
"ARBUTUS BIOPHARMA CP",MAR,ABUS,ABUS,"Citadel Securities LLC","NASDAQ","N",ABUS,
"ARCBEST CORP",MAR,ARCB,ARCB,"Timber Hill LLC","NASDAQ","N",ARCB,
"ARCELOR MITTAL NEW",MAR,MT,MT,"Citigroup Derivatives Markets Inc.","NYSE","N",MT,
"ARCELOR MITTAL NEW(ADJ)",,MT1,MT1,"Citigroup Derivatives Markets Inc.","NYSE","N",MT,"MTWS"
"ARCH CAPITAL GRP LTD",MAR,ACGL,ACGL,"Citadel Securities LLC","NASDAQ","N",ACGL,
"ARCHER DANIELS MDLND",MAR,ADM,ADM,"Citigroup Derivatives Markets Inc.","NYSE","N",ADM,
"ARCHROCK PARTNERS LP",FEB,APLP,APLP,"Susquehanna Securities","NASDAQ","N",APLP,
"ARCHROCK, INC.",FEB,AROC,AROC,"Citadel Securities LLC","NYSE","N",AROC,
"ARCHROCK, INC.(ADJ)",,AROC1,AROC1,"Citadel Securities LLC","NYSE","N",AROC,"EXTN"
"ARCOS DORADOS HLDGS",FEB,ARCO,ARCO,"Citadel Securities LLC","NYSE","N",ARCO,
"ARCTIC CAT INC",MAR,ACAT,ACAT,"Wolverine Trading, LLC","NASDAQ","N",ACAT,
"ARDMORE SHIPPING CP",JAN,ASC,ASC,"Susquehanna Securities","NYSE","N",ASC,
"ARENA PHARMACEUTICAL",JAN,ARNA,ARNA,"Group One Trading, L.P.","NASDAQ","N",ARNA,
"ARES CAPITAL CORP",MAR,ARCC,ARCC,"Susquehanna Securities","NASDAQ","N",ARCC,
"ARES COMMERCIAL R E",FEB,ACRE,ACRE,"Susquehanna Securities","NYSE","N",ACRE,
"ARGAN INC",JAN,AGX,AGX,"Wolverine Trading, LLC","NYSE","Y",AGX,
"ARGO GROUP INTL HLDS",JAN,AGII,AGII,"Susquehanna Securities","NASDAQ","Y",AGII,
"ARIAD PHARM INC",FEB,ARIA,ARIA,"Group One Trading, L.P.","NASDAQ","N",ARIA,
"ARISTA NETWORKS, INC",MAR,ANET,ANET,"Citadel Securities LLC","NYSE","N",ANET,
"ARLINGTON ASSET CL A",JAN,AI,AI,"Susquehanna Securities","NYSE","N",AI,
"ARM HOLDINGS PLC",JAN,ARMH,ARMH,"Citadel Securities LLC","NASDAQ","N",ARMH,
"ARMADA HOFFLER PPTY",FEB,AHH,AHH,"Susquehanna Securities","NYSE","N",AHH,
"ARMOUR RESIDENTIAL R",JAN,ARR,ARR,"Susquehanna Securities","NYSE","N",ARR,
"ARMSTRONG WORLD INDU",MAR,AWI,AWI,"Barclays Capital Inc.","NYSE","N",AWI,
"ARQULE, INC.",JAN,ARQL,ARQL,"Citadel Securities LLC","NASDAQ","N",ARQL,
"ARRAY BIOPHARMA INC",MAR,ARRY,ARRY,"Susquehanna Securities","NASDAQ","N",ARRY,
"ARRIS GROUP INC",FEB,ARRS,ARRS,"Citadel Securities LLC","NASDAQ","N",ARRS,
"ARROW ELCTS",MAR,ARW,ARW,"Citadel Securities LLC","NYSE","N",ARW,
"ARROWHEAD RESEARCH",MAR,ARWR,ARWR,"Group One Trading, L.P.","NASDAQ","N",ARWR,
"ARTESIAN RES CP A",MAR,ARTNA,ARTNA,"Susquehanna Securities","NASDAQ","N",ARTNA,
"ARTISAN PTNRS ASSET",MAR,APAM,APAM,"Susquehanna Securities","NYSE","N",APAM,
"ASANKO GOLD INC.",FEB,AKG,AKG,"Susquehanna Securities","NYSE MKT","N",AKG,
"ASBURY AUTOMOTIVE GR",MAR,ABG,ABG,"Wolverine Trading, LLC","NYSE","N",ABG,
"ASCENA RETAIL GRP CM",MAR,ASNA,ASNA,"Timber Hill LLC","NASDAQ","N",ASNA,
"ASCENT CAPITAL GROUP",JAN,ASCMA,ASCMA,"Wolverine Trading, LLC","NASDAQ","N",ASCMA,
"ASHFORD HOSP PRIME",JAN,AHP,AHP,"Susquehanna Securities","NYSE","N",AHP,
"ASHFORD HOSP TR INC",MAR,AHT,AHT,"Susquehanna Securities","NYSE","N",AHT,
"ASHLAND INC (NEW)",JAN,ASH,ASH,"Timber Hill LLC","NYSE","N",ASH,
"ASML HLDG NY REG",JAN,ASML,ASML,"Citadel Securities LLC","NASDAQ","N",ASML,
"ASPEN INSURANCE HLDG",MAR,AHL,AHL,"Wolverine Trading, LLC","NYSE","N",AHL,
"ASPEN TECHNOLOGY CMN",JAN,AZPN,AZPN,"Susquehanna Securities","NASDAQ","N",AZPN,
"ASSOC BANC-CORP",MAR,ASB,ASB,"Wolverine Trading, LLC","NYSE","N",ASB,
"ASSURANT INC",MAR,AIZ,AIZ,"Citadel Securities LLC","NYSE","N",AIZ,
"ASSURED GUARANTY LTD",JAN,AGO,AGO,"Timber Hill LLC","NYSE","N",AGO,
"ASTA FUNDING INC",JAN,ASFI,ASFI,"Citadel Securities LLC","NASDAQ","N",ASFI,
"ASTEC INDS INC",MAR,ASTE,ASTE,"Citadel Securities LLC","NASDAQ","N",ASTE,
"ASTORIA FINL CORP",JAN,AF,AF,"Citadel Securities LLC","NYSE","N",AF,
"ASTRAZENECA PLC ADS",JAN,AZN,AZN,"Citadel Securities LLC","NYSE","N",AZN,
"ASTRONICS CP",FEB,ATRO,ATRO,"Citadel Securities LLC","NASDAQ","Y",ATRO,
"ASTRONICS CP(ADJ)",,ATRO1,ATRO1,"Citadel Securities LLC","NASDAQ","Y",ATRO,"ATROB"
"ASTROTECH CORP",MAR,ASTC,ASTC,"Susquehanna Securities","NASDAQ","N",ASTC,
"AT&T INC.",JAN,T,T,"Citadel Securities LLC","NYSE","N",T,
"ATHENAHEALTH, INC.",MAR,ATHN,ATHN,"Citadel Securities LLC","NASDAQ","N",ATHN,
"ATHERSYS INC",JAN,ATHX,ATHX,"Susquehanna Securities","NASDAQ","N",ATHX,
"ATLANTIC POWER CORP",JAN,AT,AT,"Wolverine Trading, LLC","NYSE","N",AT,
"ATLANTIC TELE-NETWRK",MAR,ATNI,ATNI,"Susquehanna Securities","NASDAQ","N",ATNI,
"ATLAS AIR WW",FEB,AAWW,AAWW,"Citadel Securities LLC","NASDAQ","N",AAWW,
"ATLAS ENERGY GRP LLC",JAN,ATLS,ATLS,"Susquehanna Securities","NYSE","N",ATLS,
"ATLAS FINCL HLD ORD",MAR,AFH,AFH,"Citadel Securities LLC","NASDAQ","N",AFH,
"ATLAS RESOURCE PRTNR",FEB,ARP,ARP,"Wolverine Trading, LLC","NYSE","N",ARP,
"ATLASSIAN CLS A ORD",MAR,TEAM,TEAM,"Susquehanna Securities","NASDAQ","N",TEAM,
"ATMEL CORP",FEB,ATML,ATML,"Group One Trading, L.P.","NASDAQ","N",ATML,
"ATMOS ENERGY CP",JAN,ATO,ATO,"Wolverine Trading, LLC","NYSE","N",ATO,
"ATRICURE, INC.",JAN,ATRC,ATRC,"Citadel Securities LLC","NASDAQ","N",ATRC,
"ATWOOD OCEANICS INC",MAR,ATW,ATW,"Wolverine Trading, LLC","NYSE","N",ATW,
"AU OPTRONICS CP ADS",JAN,AUO,AUO,"Citadel Securities LLC","NYSE","N",AUO,
"AUDIOCODES LTD",MAR,AUDC,AUDC,"Citadel Securities LLC","NASDAQ","N",AUDC,
"AUTOBYTEL INC",JAN,ABTL,ABTL,"Susquehanna Securities","NASDAQ","N",ABTL,
"AUTODESK INC",JAN,ADSK,ADSK,"Citadel Securities LLC","NASDAQ","N",ADSK,
"AUTOHOME INC.",MAR,ATHM,ATHM,"Citadel Securities LLC","NYSE","N",ATHM,
"AUTOLIV INC",MAR,ALV,ALV,"Citadel Securities LLC","NYSE","N",ALV,
"AUTOMATIC DATA PROCS",FEB,ADP,ADP,"Citigroup Derivatives Markets Inc.","NASDAQ","N",ADP,
"AUTONATION INC",JAN,AN,AN,"Citadel Securities LLC","NYSE","N",AN,
"AUTOZONE INC",MAR,AZO,AZO,"Citadel Securities LLC","NYSE","N",AZO,
"AVALANCHE BIOT CM ST",MAR,AAVL,AAVL,"Susquehanna Securities","NASDAQ","N",AAVL,
"AVALONBAY CMTYS",JAN,AVB,AVB,"Timber Hill LLC","NYSE","N",AVB,
"AVANGRID, INC.",FEB,AGR,AGR,"Citadel Securities LLC","NYSE","N",AGR,
"AVEO PHARMACEUTICALS",JAN,AVEO,AVEO,"Morgan Stanley & Co. LLC","NASDAQ","N",AVEO,
"AVERY DENNISON CP",JAN,AVY,AVY,"Citadel Securities LLC","NYSE","N",AVY,
"AVG TECHNOLOGIES NV",MAR,AVG,AVG,"Susquehanna Securities","NYSE","N",AVG,
"AVIS BUDGET GROUP, I",FEB,CAR,CAR,"Timber Hill LLC","NASDAQ","N",CAR,
"AVISTA CORP",MAR,AVA,AVA,"Morgan Stanley & Co. LLC","NYSE","N",AVA,
"AVNET INC",FEB,AVT,AVT,"Citadel Securities LLC","NYSE","N",AVT,
"AVON PRODUCTS INC",JAN,AVP,AVP,"Citadel Securities LLC","NYSE","N",AVP,
"AWARE INC",JAN,AWRE,AWRE,"Citadel Securities LLC","NASDAQ","N",AWRE,
"AXALTA COATING SYSTM",JAN,AXTA,AXTA,"Citadel Securities LLC","NYSE","N",AXTA,
"AXCELIS TECH INC",MAR,ACLS,ACLS,"Wolverine Trading, LLC","NASDAQ","N",ACLS,
"AXIALL CORPORATION",FEB,AXLL,AXLL,"Citadel Securities LLC","NYSE","N",AXLL,
"AXIS CAP HLDGS LTD",MAR,AXS,AXS,"Citadel Securities LLC","NYSE","N",AXS,
"AXOVANT SCIENCES LTD",FEB,AXON,AXON,"Citadel Securities LLC","NYSE","N",AXON,
"AXT INC",FEB,AXTI,AXTI,"Susquehanna Securities","NASDAQ","N",AXTI,
"AZZ INC.",FEB,AZZ,AZZ,"Citadel Securities LLC","NYSE","N",AZZ,
"B C E INC",MAR,BCE,BCE,"Timber Hill LLC","NYSE","N",BCE,
"B P PRUDHOE BAY UTS",MAR,BPT,BPT,"Citadel Securities LLC","NYSE","N",BPT,
"B&G FOODS INC",FEB,BGS,BGS,"Susquehanna Securities","NYSE","N",BGS,
"BABCOCK & WILCOX",FEB,BW,BW,"Wolverine Trading, LLC","NYSE","N",BW,
"BADGER METER INC",FEB,BMI,BMI,"Citadel Securities LLC","NYSE","N",BMI,
"BAIDU, INC.",MAR,BIDU,BIDU,"Citadel Securities LLC","NASDAQ","N",BIDU,
"BAKER HUGHES INTL",JAN,BHI,BHI,"Timber Hill LLC","NYSE","N",BHI,
"BALCHEM CP",FEB,BCPC,BCPC,"Susquehanna Securities","NASDAQ","N",BCPC,
"BALDWIN LYONS CL B",MAR,BWINB,BWINB,"Wolverine Trading, LLC","NASDAQ","N",BWINB,
"BALL CP",FEB,BLL,BLL,"Citadel Securities LLC","NYSE","N",BLL,
"BALLANTYNE STRONG",JAN,BTN,BTN,"Susquehanna Securities","NYSE MKT","N",BTN,
"BALLARD POWER SYS",FEB,BLDP,BLDP,"Group One Trading, L.P.","NASDAQ","N",BLDP,
"BANCO BRADESCO ADS",MAR,BBD,BBD,"Citadel Securities LLC","NYSE","N",BBD,
"BANCO LATINOAMER SA",MAR,BLX,BLX,"Susquehanna Securities","NYSE","N",BLX,
"BANCO MACRO SA",JAN,BMA,BMA,"Susquehanna Securities","NYSE","N",BMA,
"BANCO SANTANDER  CHI",JAN,BSAC,BSAC,"Susquehanna Securities","NYSE","N",BSAC,
"BANCO SANTANDER ADR",MAR,SAN,SAN,"Susquehanna Securities","NYSE","N",SAN,
"BANCO SANTANDER BRZL",MAR,BSBR,BSBR,"Citadel Securities LLC","NYSE","N",BSBR,
"BANCOLOMBIA SA",JAN,CIB,CIB,"Wolverine Trading, LLC","NYSE","Y",CIB,
"BANCORPSOUTH INC",JAN,BXS,BXS,"Citadel Securities LLC","NYSE","N",BXS,
"BANK MUTUAL CORP",MAR,BKMU,BKMU,"Susquehanna Securities","NASDAQ","N",BKMU,
"BANK OF COMMERCE HLD",MAR,BOCH,BOCH,"Wolverine Trading, LLC","NASDAQ","N",BOCH,
"BANK OF HAWAII CP",JAN,BOH,BOH,"Citadel Securities LLC","NYSE","N",BOH,
"BANK OF MONTREAL",MAR,BMO,BMO,"Timber Hill LLC","NYSE","N",BMO,
"BANK OF NOVA SCOTIA",MAR,BNS,BNS,"Citadel Securities LLC","NYSE","N",BNS,
"BANK OF NY MELLON CP",MAR,BK,BK,"Citigroup Derivatives Markets Inc.","NYSE","N",BK,
"BANK OF THE OZARKS",FEB,OZRK,OZRK,"Morgan Stanley & Co. LLC","NASDAQ","N",OZRK,
"BANKRATE, INC.",MAR,RATE,RATE,"Susquehanna Securities","NYSE","N",RATE,
"BANKUNITED, INC.",FEB,BKU,BKU,"Citadel Securities LLC","NYSE","N",BKU,
"BANNER CORPORATION",FEB,BANR,BANR,"Citadel Securities LLC","NASDAQ","N",BANR,
"BANRO CORP",MAR,BAA,BAA,"Susquehanna Securities","NYSE MKT","N",BAA,
"BARCLAYS BANK PLC",MAR,VXZ,VXZ,"Citadel Securities LLC","NYSE ARCA","N",VXZ,
"BARCLAYS PLC ADR",MAR,BCS,BCS,"Citadel Securities LLC","NYSE","N",BCS,
"BARD C R INC",JAN,BCR,BCR,"Citadel Securities LLC","NYSE","N",BCR,
"BARNES & NOBLE",JAN,BKS,BKS,"Citadel Securities LLC","NYSE","N",BKS,
"BARNES & NOBLE EDUCA",JAN,BNED,BNED,"Citadel Securities LLC","NYSE","N",BNED,
"BARNES & NOBLE(ADJ)",,BKS1,BKS1,"Citadel Securities LLC","NYSE","N",BKS,"BNED"
"BARNES GP INC",MAR,B,B,"Citadel Securities LLC","NYSE","N",B,
"BARRACUDA NETWORKS",JAN,CUDA,CUDA,"Susquehanna Securities","NYSE","N",CUDA,
"BARRICK GOLD CP",JAN,ABX,ABX,"Citadel Securities LLC","NYSE","N",ABX,
"BASIC ENERGY SRVC",JAN,BAS,BAS,"Group One Trading, L.P.","NYSE","N",BAS,
"BAXALTA INC.",FEB,BXLT,BXLT,"Citigroup Derivatives Markets Inc.","NYSE","N",BXLT,
"BAXTER INTL INC",FEB,BAX,BAX,"Citigroup Derivatives Markets Inc.","NYSE","N",BAX,
"BAXTER INTL INC(ADJ)",,BAX1,BAX1,"Citigroup Derivatives Markets Inc.","NYSE","N",BAX,"BXLT"
"BAYTEX ENERGY CORP",JAN,BTE,BTE,"Citadel Securities LLC","NYSE","N",BTE,
"BAZAARVOICE, INC.",FEB,BV,BV,"Susquehanna Securities","NASDAQ","N",BV,
"BB&T CP",MAR,BBT,BBT,"Citadel Securities LLC","NYSE","N",BBT,
"BBCN BANCORP COM",MAR,BBCN,BBCN,"Susquehanna Securities","NASDAQ","N",BBCN,
"BBVA BANCO FRANCES",JAN,BFR,BFR,"Wolverine Trading, LLC","NYSE","N",BFR,
"BBX CAPITAL CORPORAT",MAR,BBX,BBX,"Susquehanna Securities","NYSE","N",BBX,
"BCB BANCORP INC",JAN,BCBP,BCBP,"Wolverine Trading, LLC","NASDAQ","N",BCBP,
"BE AEROSPACE INC",JAN,BEAV,BEAV,"Citadel Securities LLC","NASDAQ","N",BEAV,
"BE AEROSPACE INC(ADJ)",,BEAV1,BEAV1,"Citadel Securities LLC","NASDAQ","N",BEAV,"KLXI"
"BEACON ROOFING SUPPL",JAN,BECN,BECN,"Citadel Securities LLC","NASDAQ","N",BECN,
"BEAR STATE FIN INC",JAN,BSF,BSF,"Wolverine Trading, LLC","NASDAQ","N",BSF,
"BEAZER HOMES USA INC",FEB,BZH,BZH,"Timber Hill LLC","NYSE","N",BZH,
"BEBE STORES INC",MAR,BEBE,BEBE,"Citadel Securities LLC","NASDAQ","N",BEBE,
"BECTON DICKINSON  CO",MAR,BDX,BDX,"Citadel Securities LLC","NYSE","N",BDX,
"BED BATH & BEYOND",FEB,BBBY,BBBY,"Timber Hill LLC","NASDAQ","N",BBBY,
"BEL FUSE INC CL B",MAR,BELFB,BELFB,"Wolverine Trading, LLC","NASDAQ","N",BELFB,
"BELDEN INC",MAR,BDC,BDC,"Citadel Securities LLC","NYSE","N",BDC,
"BELLATRIX EXPLOR",MAR,BXE,BXE,"Morgan Stanley & Co. LLC","NYSE","N",BXE,
"BELMOND LTD CL A",MAR,BEL,BEL,"Citadel Securities LLC","NYSE","N",BEL,
"BEMIS CO INC",JAN,BMS,BMS,"Susquehanna Securities","NYSE","N",BMS,
"BENCHMARK ELECTRONIC",JAN,BHE,BHE,"Citadel Securities LLC","NYSE","N",BHE,
"BENEFITFOCUS CMN",FEB,BNFT,BNFT,"Citadel Securities LLC","NASDAQ","N",BNFT,
"BERKLEY W R CP",JAN,WRB,WRB,"Citadel Securities LLC","NYSE","N",WRB,
"BERKSHIRE HATH HLD B",MAR,BRK.B,BRK.B,"Susquehanna Securities","NYSE","N",BRK.B,
"BERKSHIRE HILL BNCP",MAR,BHLB,BHLB,"Susquehanna Securities","NYSE","N",BHLB,
"BERRY PLASTICS GROUP",MAR,BERY,BERY,"Susquehanna Securities","NYSE","N",BERY,
"BEST BUY CO INC",MAR,BBY,BBY,"Timber Hill LLC","NYSE","N",BBY,
"BGC PARTNERS CL A",FEB,BGCP,BGCP,"Citadel Securities LLC","NASDAQ","N",BGCP,
"BHP BILLITON LIMITED",FEB,BHP,BHP,"Timber Hill LLC","NYSE","N",BHP,
"BHP BILLITON SP ADR",MAR,BBL,BBL,"Citadel Securities LLC","NYSE","N",BBL,
"BIG 5 SPORTING",JAN,BGFV,BGFV,"Wolverine Trading, LLC","NASDAQ","N",BGFV,
"BIG LOTS INC",JAN,BIG,BIG,"Timber Hill LLC","NYSE","N",BIG,
"BILL BARRETT CORP",MAR,BBG,BBG,"Citadel Securities LLC","NYSE","N",BBG,
"BIO RAD LABS CL A",MAR,BIO,BIO,"Wolverine Trading, LLC","NYSE","N",BIO,
"BIO-TECHNE CP CMN",JAN,TECH,TECH,"Wolverine Trading, LLC","NASDAQ","Y",TECH,
"BIOAMBER INC.",FEB,BIOA,BIOA,"Susquehanna Securities","NYSE","N",BIOA,
"BIOCRYST PHARMA INC",MAR,BCRX,BCRX,"Citadel Securities LLC","NASDAQ","N",BCRX,
"BIODEL INC.",MAR,BIOD,BIOD,"Susquehanna Securities","NASDAQ","N",BIOD,
"BIODELIVERY SCI INTL",MAR,BDSI,BDSI,"Susquehanna Securities","NASDAQ","N",BDSI,
"BIOGEN INC CMN",JAN,BIIB,BIIB,"Citadel Securities LLC","NASDAQ","N",BIIB,
"BIOMARIN PHARMACEUT",JAN,BMRN,BMRN,"Timber Hill LLC","NASDAQ","N",BMRN,
"BIOSCRIP INC",JAN,BIOS,BIOS,"Susquehanna Securities","NASDAQ","N",BIOS,
"BIOTA PHARMACEUTICAL",MAR,BOTA,BOTA,"Susquehanna Securities","NASDAQ","N",BOTA,
"BIOTELEMETRY, INC.",FEB,BEAT,BEAT,"Citadel Securities LLC","NASDAQ","N",BEAT,
"BIOTIME INC",MAR,BTX,BTX,"Susquehanna Securities","NYSE MKT","N",BTX,
"BIOTIME INC(ADJ)",,BTX1,BTX1,"Susquehanna Securities","NYSE MKT","N",BTX,"OCX"
"BITAUTO HOLDINGS LTD",JAN,BITA,BITA,"Wolverine Trading, LLC","NYSE","N",BITA,
"BJ'S RESTAURANTS INC",JAN,BJRI,BJRI,"Wolverine Trading, LLC","NASDAQ","N",BJRI,
"BK OF AMERICA CP",FEB,BAC,BAC,"Citadel Securities LLC","NYSE","N",BAC,
"BLACK BOX CP",MAR,BBOX,BBOX,"Citadel Securities LLC","NASDAQ","N",BBOX,
"BLACK DIAMOND, INC.",FEB,BDE,BDE,"Group One Trading, L.P.","NASDAQ","N",BDE,
"BLACK HILLS CP",FEB,BKH,BKH,"Susquehanna Securities","NYSE","N",BKH,
"BLACKBAUD, INC.",MAR,BLKB,BLKB,"Susquehanna Securities","NASDAQ","N",BLKB,
"BLACKBERRY LIMITED",MAR,BBRY,BBRY,"Citadel Securities LLC","NASDAQ","N",BBRY,
"BLACKHAWK NETWORK HO",MAR,HAWK,HAWK,"Morgan Stanley & Co. LLC","NASDAQ","N",HAWK,
"BLACKROCK CPTL INVT",FEB,BKCC,BKCC,"Susquehanna Securities","NASDAQ","N",BKCC,
"BLACKROCK INC",JAN,BLK,BLK,"Citadel Securities LLC","NYSE","N",BLK,
"BLACKSTONE GRP LP UT",MAR,BX,BX,"Citadel Securities LLC","NYSE","N",BX,
"BLACKSTONE GRP LP UT(ADJ)",,BX1,BX1,"Citadel Securities LLC","NYSE","N",BX,"PJT"
"BLOOMIN' BRANDS, INC",JAN,BLMN,BLMN,"Citadel Securities LLC","NASDAQ","N",BLMN,
"BLOUNT INTL INC",JAN,BLT,BLT,"Citadel Securities LLC","NYSE","N",BLT,
"BLUCORA, INC CMN",JAN,BCOR,BCOR,"Citadel Securities LLC","NASDAQ","N",BCOR,
"BLUE BUFFALO PET CMN",MAR,BUFF,BUFF,"Wolverine Trading, LLC","NASDAQ","N",BUFF,
"BLUE NILE, INC.",FEB,NILE,NILE,"Susquehanna Securities","NASDAQ","N",NILE,
"BLUEBIRD BIO CMN",FEB,BLUE,BLUE,"Citadel Securities LLC","NASDAQ","N",BLUE,
"BOARDWALK PIPELINE",MAR,BWP,BWP,"Citadel Securities LLC","NYSE","N",BWP,
"BOB EVANS FARMS",MAR,BOBE,BOBE,"Wolverine Trading, LLC","NASDAQ","N",BOBE,
"BOEING CO",FEB,BA,BA,"Timber Hill LLC","NYSE","N",BA,
"BOFI HOLDING, INC.",JAN,BOFI,BOFI,"Wolverine Trading, LLC","NASDAQ","N",BOFI,
"BOINGO WIRELESS, INC",FEB,WIFI,WIFI,"Group One Trading, L.P.","NASDAQ","N",WIFI,
"BOISE CASCADE L.L.C.",JAN,BCC,BCC,"Susquehanna Securities","NYSE","N",BCC,
"BOK FINANCIAL CORP",MAR,BOKF,BOKF,"Susquehanna Securities","NASDAQ","N",BOKF,
"BON TON STORES THE",JAN,BONT,BONT,"Citadel Securities LLC","NASDAQ","N",BONT,
"BONANZA CREEK ENERGY",JAN,BCEI,BCEI,"Wolverine Trading, LLC","NYSE","N",BCEI,
"BOOZ ALLEN HAMLTN",MAR,BAH,BAH,"Susquehanna Securities","NYSE","N",BAH,
"BORG WARNER INC",JAN,BWA,BWA,"Citadel Securities LLC","NYSE","N",BWA,
"BOSTON BEER CO INC",MAR,SAM,SAM,"Morgan Stanley & Co. LLC","NYSE","N",SAM,
"BOSTON PPTYS INC",JAN,BXP,BXP,"Susquehanna Securities","NYSE","N",BXP,
"BOSTON PVT FINL HLDG",JAN,BPFH,BPFH,"Susquehanna Securities","NASDAQ","N",BPFH,
"BOSTON SCIENTIFIC CP",FEB,BSX,BSX,"Timber Hill LLC","NYSE","N",BSX,
"BOTTOMLINE TECH IN",MAR,EPAY,EPAY,"Citadel Securities LLC","NASDAQ","N",EPAY,
"BOX, INC. CL A",MAR,BOX,BOX,"Wolverine Trading, LLC","NYSE","N",BOX,
"BOYD GAMING CORP",MAR,BYD,BYD,"Citigroup Derivatives Markets Inc.","NYSE","N",BYD,
"BP PLC",JAN,BP,BP,"Citadel Securities LLC","NYSE","N",BP,
"BRADY CP CL A",FEB,BRC,BRC,"Susquehanna Securities","NYSE","N",BRC,
"BRANDYWINE REALTY TR",JAN,BDN,BDN,"Susquehanna Securities","NYSE","N",BDN,
"BRASKEM SA ADR",MAR,BAK,BAK,"Susquehanna Securities","NYSE","N",BAK,
"BRAVO BRIO RESTAURAN",MAR,BBRG,BBRG,"Susquehanna Securities","NASDAQ","N",BBRG,
"BREITBURN ENERGY",MAR,BBEP,BBEP,"Citadel Securities LLC","NASDAQ","N",BBEP,
"BRF  SA",MAR,BRFS,BRFS,"Citadel Securities LLC","NYSE","N",BRFS,
"BRIDGEPOINT EDUCATIO",FEB,BPI,BPI,"Group One Trading, L.P.","NYSE","N",BPI,
"BRIGGS STRATTON   DC",JAN,BGG,BGG,"Susquehanna Securities","NYSE","N",BGG,
"BRIGHT HORIZONS FMLY",MAR,BFAM,BFAM,"Wolverine Trading, LLC","NYSE","N",BFAM,
"BRIGHTCOVE INC.",JAN,BCOV,BCOV,"Susquehanna Securities","NASDAQ","N",BCOV,
"BRINKER INTL INC",JAN,EAT,EAT,"Citadel Securities LLC","NYSE","N",EAT,
"BRINKS COMPANY",MAR,BCO,BCO,"Citadel Securities LLC","NYSE","N",BCO,
"BRISTOL-MYERS SQUIBB",MAR,BMY,BMY,"Citigroup Derivatives Markets Inc.","NYSE","N",BMY,
"BRISTOW GROUP INC",MAR,BRS,BRS,"Susquehanna Securities","NYSE","N",BRS,
"BRITISH AMER TOB ADR",MAR,BTI,BTI,"Susquehanna Securities","NYSE MKT","N",BTI,
"BRIXMOR PPTY GP INC",FEB,BRX,BRX,"Citadel Securities LLC","NYSE","N",BRX,
"BROADCOM LTD",JAN,AVGO,AVGO,"Citadel Securities LLC","NASDAQ","N",AVGO,
"BROADRIDGE FIN SOL",MAR,BR,BR,"Barclays Capital Inc.","NYSE","N",BR,
"BROADSOFT INC",FEB,BSFT,BSFT,"Citadel Securities LLC","NASDAQ","N",BSFT,
"BROADWIND ENERGY INC",MAR,BWEN,BWEN,"Citadel Securities LLC","NASDAQ","N",BWEN,
"BROCADE COMM SYS",JAN,BRCD,BRCD,"Susquehanna Securities","NASDAQ","N",BRCD,
"BROOKDALE SENIOR LVG",JAN,BKD,BKD,"Citadel Securities LLC","NYSE","N",BKD,
"BROOKFIELD ASSET MGT",MAR,BAM,BAM,"Timber Hill LLC","NYSE","N",BAM,
"BROOKFIELD INFRASTRU",MAR,BIP,BIP,"Citadel Securities LLC","NYSE","N",BIP,
"BROOKFIELD PPTY PRTN",MAR,BPY,BPY,"Susquehanna Securities","NYSE","N",BPY,
"BROOKLINE BANCORP",MAR,BRKL,BRKL,"Susquehanna Securities","NASDAQ","N",BRKL,
"BROOKS AUTOMATION",JAN,BRKS,BRKS,"Wolverine Trading, LLC","NASDAQ","N",BRKS,
"BROWN & BROWN INC",MAR,BRO,BRO,"Citadel Securities LLC","NYSE","N",BRO,
"BRUKER CORPORATION",MAR,BRKR,BRKR,"Susquehanna Securities","NASDAQ","N",BRKR,
"BRUNSWICK CP",MAR,BC,BC,"Citadel Securities LLC","NYSE","N",BC,
"BSQUARE CORP",MAR,BSQR,BSQR,"Group One Trading, L.P.","NASDAQ","N",BSQR,
"BUCKEYE PARTNERS LTD",FEB,BPL,BPL,"Susquehanna Securities","NYSE","N",BPL,
"BUCKLE INC",MAR,BKE,BKE,"Citadel Securities LLC","NYSE","N",BKE,
"BUENAVENTURA MINING",MAR,BVN,BVN,"Citadel Securities LLC","NYSE","N",BVN,
"BUFFALO WILD WINGS",MAR,BWLD,BWLD,"Citadel Securities LLC","NASDAQ","N",BWLD,
"BUILD A BEAR WORKSHP",MAR,BBW,BBW,"Susquehanna Securities","NYSE","N",BBW,
"BUILDERS FIRSTSOURCE",FEB,BLDR,BLDR,"Wolverine Trading, LLC","NASDAQ","N",BLDR,
"BUNGE LTD",JAN,BG,BG,"Timber Hill LLC","NYSE","N",BG,
"BURLINGTON STORES",MAR,BURL,BURL,"Wolverine Trading, LLC","NYSE","N",BURL,
