Symbol,Company Name, Lead Market Maker
OFIX,"ORTHOFIX INTL NV","WOLVERINE TRADING, LLC"
OGXI,"ONCOGENEX PHARMA","MORGAN STANLEY & CO. LLC"
OHI,"OMEGA HEALTHCARE INV","CITADEL SECURITIES LLC"
OHRP,"OHR PHARMCEUTIAL CM","CITADEL SECURITIES LLC"
OI,"OWENS ILLINOIS","SUSQUEHANNA SECURITIES"
OIH,"MKT VECTORS OIL SVCS","*** No LMM ***"
OII,"OCEANEERING INTL INC","TIMBER HILL LLC"
OIS,"OIL STATES INTL INC","WOLVERINE TRADING, LLC"
OKE,"ONEOK INC        NEW","WOLVERINE TRADING, LLC"
OKS,"ONEOK PARTNERS LTD","*** No LMM ***"
OLED,"UNIVERSAL DISPLAY","MORGAN STANLEY & CO. LLC"
OLN,"OLIN CP","WOLVERINE TRADING, LLC"
OMC,"OMNICOM GP INC","WOLVERINE TRADING, LLC"
OMER,"Omeros Corporation","MORGAN STANLEY & CO. LLC"
OMF,"ONEMAIN HOLDINGS INC","*** No LMM ***"
ON,"ON SEMICONDUCTOR","WOLVERINE TRADING, LLC"
ONCE,"SPARK THERAP CMN","*** No LMM ***"
ONDK,"ON DECK CAPITAL, INC","*** No LMM ***"
ONTY,"ONCOTHYREON INC","MORGAN STANLEY & CO. LLC"
ONVO,"ORGANOVO HOLDINGS","MORGAN STANLEY & CO. LLC"
OPHT,"OPHTHOTECH CORP CMN","*** No LMM ***"
OPK,"OPKO HEALTH INC.","GOLDMAN, SACHS & CO."
ORCL,"ORACLE CORPORATION","SUSQUEHANNA SECURITIES"
OREX,"OREXIGEN THERAPEUTIC","SUSQUEHANNA SECURITIES"
ORIG,"OCEAN RIG UDW INC","CITADEL SECURITIES LLC"
ORLY,"O'REILLY AUTOMOTIVE","WOLVERINE TRADING, LLC"
OSIR,"OSIRIS THERAPEUTICS","MORGAN STANLEY & CO. LLC"
OSIS,"O S I SYSTEMS INC","WOLVERINE TRADING, LLC"
OSK,"OSHKOSH CP","CITADEL SECURITIES LLC"
OSTK,"OVERSTOCK.COM, INC.","WOLVERINE TRADING, LLC"
OSUR,"ORASURE TECH INC","*** No LMM ***"
OTEX,"OPEN TEXT CP","CITADEL SECURITIES LLC"
OUT,"OUTFRONT MEDIA INC.","CITADEL SECURITIES LLC"
OUTR,"Outerwall Inc.","GOLDMAN, SACHS & CO."
OVAS,"OVASCIENCE CMN STK","GOLDMAN, SACHS & CO."
OXY,"OCCIDENTAL PET","SUSQUEHANNA SECURITIES"
OZM,"OCH-ZIFF CAP MGMT","WOLVERINE TRADING, LLC"
P,"PANDORA MEDIA, INC.","GOLDMAN, SACHS & CO."
PAA,"PLAINS ALL AMER LP","MORGAN STANLEY & CO. LLC"
PAAS,"PAN AMER SILVER CORP","*** No LMM ***"
PACB,"PACIFIC BIOSCIENCES","*** No LMM ***"
PAGP,"PLAINS GP HLDHS LP","*** No LMM ***"
PAH,"PLATFORM SPECIALTY","*** No LMM ***"
PANW,"Palo Alto Networks","CITADEL SECURITIES LLC"
PAY,"VERIFONE SYSTEMS INC","WOLVERINE TRADING, LLC"
PAYX,"PAYCHEX, INC.","GOLDMAN, SACHS & CO."
PBCT,"PEOPLE'S UNITED FINL","*** No LMM ***"
PBF,"PBF ENERGY INC.","SUSQUEHANNA SECURITIES"
PBI,"PITNEY BOWES INC","CITADEL SECURITIES LLC"
PBPB,"POTBELLY CORP CMN","CITADEL SECURITIES LLC"
PBR,"PETROLEO BRASILEIRO","WOLVERINE TRADING, LLC"
PBYI,"PUMA BIOTECHNOLOGY","MORGAN STANLEY & CO. LLC"
PCAR,"PACCAR INC.","*** No LMM ***"
PCG,"PG&E CP","TIMBER HILL LLC"
PCLN,"THE PRICELINE GP CM","SUSQUEHANNA SECURITIES"
PCRX,"PACIRA PHARM INC","CITADEL SECURITIES LLC"
PDCE,"PDC ENERGY, INC.","*** No LMM ***"
PDCO,"PATTERSON COMPANIES","*** No LMM ***"
PDLI,"PDL BIOPHARMA INC","SUSQUEHANNA SECURITIES"
PDS,"PRECISION DRILL CORP","*** No LMM ***"
PE,"PARSLEY ENERGY CL A","MORGAN STANLEY & CO. LLC"
PEG,"PUB ENTRPR GP","WOLVERINE TRADING, LLC"
PEGI,"PATTERN ENERGY CL A","*** No LMM ***"
PEI,"PENN REAL ESTATE TR","*** No LMM ***"
PEIX,"PACIFIC ETHANOL INC","WOLVERINE TRADING, LLC"
PENN,"PENN NATL GAMING INC","*** No LMM ***"
PEP,"PEPSICO INC","WOLVERINE TRADING, LLC"
PER,"SANDRIDGE PERMIAN TR","*** No LMM ***"
PERI,"PERION NETWORK LTD.","MORGAN STANLEY & CO. LLC"
PERY,"PERRY ELLIS INT","*** No LMM ***"
PES,"PIONEER ENERGY SVCS","*** No LMM ***"
PF,"PINNACLE FOODS, INC.","SUSQUEHANNA SECURITIES"
PFE,"PFIZER INC","*** No LMM ***"
PFG,"PRINCIPAL FINL GROUP","*** No LMM ***"
PFPT,"PROOFPOINT, INC.","*** No LMM ***"
PG,"PROCTER   GAMBLE CO","CITADEL SECURITIES LLC"
PGH,"PENGROWTH ENRGY CP","WOLVERINE TRADING, LLC"
PGNX,"PROGENICS PHARMACEUT","MORGAN STANLEY & CO. LLC"
PGR,"PROGRESSIVE CP","*** No LMM ***"
PH,"PARKER HANNIFIN CP","WOLVERINE TRADING, LLC"
PHH,"PHH CORP","SUSQUEHANNA SECURITIES"
PHM,"PULTEGroup, INC.","TIMBER HILL LLC"
PII,"POLARIS INDUSTRIES","WOLVERINE TRADING, LLC"
PIR,"PIER ONE INC","SUSQUEHANNA SECURITIES"
PKG,"PACKAGING CP AMER","*** No LMM ***"
PKI,"PERKIN ELMER INC","SUSQUEHANNA SECURITIES"
PKX,"POSCO","*** No LMM ***"
PLCE,"CHILDREN'S PLACE INC","GOLDMAN, SACHS & CO."
PLCM,"POLYCOM INC","CITADEL SECURITIES LLC"
PLD,"PROLOGIS, INC","*** No LMM ***"
PLKI,"POPEYES LOUISIANA","*** No LMM ***"
PLUG,"PLUG POWER INC","WOLVERINE TRADING, LLC"
PM,"PHILIP MORRIS INTL","TIMBER HILL LLC"
PMT,"PENNYMAC MTG INVT TR","MORGAN STANLEY & CO. LLC"
PNC,"P N C FIN SVCS GR","WOLVERINE TRADING, LLC"
PNK,"PINNACLE ENTRMT CM","TIMBER HILL LLC"
PNR,"PENTAIR PLC.","*** No LMM ***"
PNRA,"PANERA BREAD A","MORGAN STANLEY & CO. LLC"
PODD,"INSULET CORPORATION","*** No LMM ***"
POM,"PEPCO HOLDINGS INC","SUSQUEHANNA SECURITIES"
POST,"Post Holdings Inc","*** No LMM ***"
POT,"POTASH CP SASKATCHEW","SUSQUEHANNA SECURITIES"
POWR,"POWERSECURE","CITADEL SECURITIES LLC"
PPC,"PILGRIM'S PRIDE CMN","SUSQUEHANNA SECURITIES"
PPG,"P P G IND","WOLVERINE TRADING, LLC"
PPHM,"PEREGRINE PHARMA NEW","MORGAN STANLEY & CO. LLC"
PPL,"PPL CORP","WOLVERINE TRADING, LLC"
PPP,"PRIMERO MINING CORP","CITADEL SECURITIES LLC"
PQ,"PETROQUEST ENERGY","WOLVERINE TRADING, LLC"
PRAA,"PRA GROUP INC CMN","MORGAN STANLEY & CO. LLC"
PRAN,"PRANA BIO LTD ADS S1","CITADEL SECURITIES LLC"
PRGO,"PERRIGO COMPANY PLC","*** No LMM ***"
PRKR,"PARKERVISION INC","WOLVERINE TRADING, LLC"
PRLB,"PROTO LABS, INC.","MORGAN STANLEY & CO. LLC"
PRTA,"PROTHENA CORP","SUSQUEHANNA SECURITIES"
PRU,"PRUDENTIAL FINCL INC","GOLDMAN, SACHS & CO."
PRXL,"PAREXEL INTL CP","CITADEL SECURITIES LLC"
PSA,"PUBLIC STG","CITADEL SECURITIES LLC"
PSDV,"PSIVIDA CORP COM","CITADEL SECURITIES LLC"
PSEC,"PROSPECT CAPITAL CP","WOLVERINE TRADING, LLC"
PSMT,"PRICESMART INC","*** No LMM ***"
PSTI,"PLURISTEM THERAPEUTC","CITADEL SECURITIES LLC"
PSX,"Phillips 66","WOLVERINE TRADING, LLC"
PSXP,"PHILLIPS 66 PARTNERS","*** No LMM ***"
PTC,"PTC Inc.","*** No LMM ***"
PTCT,"PTC THERAPEUTICS CMN","*** No LMM ***"
PTEN,"PATTERSON-UTI ENERGY","WOLVERINE TRADING, LLC"
PTR,"PETROCHINA CO ADS","CITADEL SECURITIES LLC"
PTX,"PERNIX THERAPTCS CMN","*** No LMM ***"
PVG,"PRETIUM RES INC","WOLVERINE TRADING, LLC"
PVH,"PVH Corp.","SUSQUEHANNA SECURITIES"
PWE,"PENN WEST PETROLEUM","WOLVERINE TRADING, LLC"
PWR,"QUANTA SERVICES INC","CITADEL SECURITIES LLC"
PX,"PRAXAIR INC","WOLVERINE TRADING, LLC"
PXD,"PIONEER NATURAL RES","MORGAN STANLEY & CO. LLC"
PXLW,"PIXELWORKS INC","CITADEL SECURITIES LLC"
PYPL,"PayPal Holdings","*** No LMM ***"
PZZA,"PAPA JOHN'S INTL","*** No LMM ***"
Q,"QUINTILES TTRANSNATI","*** No LMM ***"
QCOM,"QUALCOMM INC","WOLVERINE TRADING, LLC"
QEP,"QEP RESOURCES, INC","WOLVERINE TRADING, LLC"
QID,"PS UTLRSHRT QQQ","WOLVERINE TRADING, LLC"
QIHU,"QIHOO 360 TECH","MORGAN STANLEY & CO. LLC"
QIWI,"QIWI PLC ADR","CITADEL SECURITIES LLC"
QLD,"PROSHARES ULTRA QQQ","SUSQUEHANNA SECURITIES"
QLGC,"QLOGIC CP","*** No LMM ***"
QLIK,"QLIK TECHNOLOGIES IN","*** No LMM ***"
QLTI,"QLT INC,","*** No LMM ***"
QLYS,"QUALYS, INC.","*** No LMM ***"
QQQ,"POWERSHARES QQQ TR 1","WOLVERINE TRADING, LLC"
QRVO,"QORVO, INC. CMN","*** No LMM ***"
QSII,"QUALITY SYSTEMS, INC","WOLVERINE TRADING, LLC"
QSR,"RESTAURANT BRANDS","*** No LMM ***"
QTWW,"QUANTUM FUEL SYS","CITADEL SECURITIES LLC"
QUIK,"QUICKLOGIC CORP","MORGAN STANLEY & CO. LLC"
QUNR,"QUNAR CAYMAN ISL ADS","WOLVERINE TRADING, LLC"
QUOT,"QUOTIENT TECHNOLOGY","SUSQUEHANNA SECURITIES"
QVCA,"LIBERTY INT QVC SR A","WOLVERINE TRADING, LLC"
R,"RYDER SYSTEM INC","SUSQUEHANNA SECURITIES"
RACE,"Ferrari N.V.","*** No LMM ***"
RAD,"RITE AID CP","CITADEL SECURITIES LLC"
RAI,"REYNOLDS AMERICAN","CITADEL SECURITIES LLC"
RAS,"RAIT FINANCIAL TRUST","*** No LMM ***"
RAX,"RACKSPACE HOSTING","SUSQUEHANNA SECURITIES"
RBCN,"RUBICON TECHNOLOGY,","SUSQUEHANNA SECURITIES"
RBS,"ROYAL BANK ADS NEW","MORGAN STANLEY & CO. LLC"
RCI,"ROGERS COMMUN CL B","*** No LMM ***"
RCII,"RENT-A-CENTER INC","*** No LMM ***"
RCL,"ROYAL CARIBBEAN CR","GOLDMAN, SACHS & CO."
RDC,"ROWAN COS PLC","WOLVERINE TRADING, LLC"
RDEN,"ELIZABETH ARDEN","CITADEL SECURITIES LLC"
RDI,"READING INTL CL A","*** No LMM ***"
RDN,"RADIAN GROUP INC","WOLVERINE TRADING, LLC"
RDNT,"RADNET INC","WOLVERINE TRADING, LLC"
RDS.A,"RYL DTCH SHL CL A","GOLDMAN, SACHS & CO."
RDS.B,"ROYAL DUTCH SHELL","WOLVERINE TRADING, LLC"
RDUS,"RADIUS HEALTH CMN","*** No LMM ***"
RDWR,"RADWARE LTD.","WOLVERINE TRADING, LLC"
REGI,"RENEWABLE ENERGY","WOLVERINE TRADING, LLC"
REGN,"REGENERON PHARMACEUT","GOLDMAN, SACHS & CO."
REN,"RESOLUTE ENERGY CORP","WOLVERINE TRADING, LLC"
RENN,"RENREN INC ADS","WOLVERINE TRADING, LLC"
RESI,"ALTISOURCE RESIDENTI","*** No LMM ***"
REXX,"REX ENERGY CORPORATI","*** No LMM ***"
RF,"REGIONS FINANCIAL CP","TIMBER HILL LLC"
RFP,"RESOLUTE FOREST PDS","*** No LMM ***"
RGC,"REGAL ENTERTAINMENT","*** No LMM ***"
RGEN,"REPLIGEN CP","*** No LMM ***"
RGLD,"ROYAL GOLD, INC.","CITADEL SECURITIES LLC"
RGLS,"REGULUS THERAPEUTICS","*** No LMM ***"
RGR,"STURM RUGER AND CO","MORGAN STANLEY & CO. LLC"
RH,"RESTORATION HARDWARE","MORGAN STANLEY & CO. LLC"
RHI,"ROBERT HALF INTL INC","WOLVERINE TRADING, LLC"
RHT,"RED HAT INC","SUSQUEHANNA SECURITIES"
RICE,"RICE ENERGY INC.","CITADEL SECURITIES LLC"
RIG,"TRANSOCEAN LTD","MORGAN STANLEY & CO. LLC"
RIGL,"RIGEL PHARMACEUTICAL","*** No LMM ***"
RIO,"RIO TINTO PLC ADS","WOLVERINE TRADING, LLC"
RJF,"RAYMOND JAMES FIN CP","*** No LMM ***"
RKUS,"RUCKUS WIRELESS, INC","GOLDMAN, SACHS & CO."
RL,"RALPH LAUREN CP","WOLVERINE TRADING, LLC"
RLD,"REALD INC.","*** No LMM ***"
RLGY,"REALOGY HOLDINGS CP","TIMBER HILL LLC"
RLYP,"RELYPSA, INC.","*** No LMM ***"
RMBS,"RAMBUS INC.","*** No LMM ***"
RMD,"RESMED INC","TIMBER HILL LLC"
RMP,"RICE MIDSTREAM PRTNR","*** No LMM ***"
RMTI,"ROCKWELL MEDICAL, IN","CITADEL SECURITIES LLC"
RNF,"RENTECH NITROGEN PRT","WOLVERINE TRADING, LLC"
RNG,"RINGCENTRAL, INC.","SUSQUEHANNA SECURITIES"
ROK,"ROCKWELL AUTOMAT INC","MORGAN STANLEY & CO. LLC"
ROP,"ROPER TECHNOLOGIES","*** No LMM ***"
ROST,"ROSS STORES, INC.","SUSQUEHANNA SECURITIES"
ROVI,"ROVI CORP CMN","SUSQUEHANNA SECURITIES"
ROYT,"PACIFIC COAST OIL TR","*** No LMM ***"
RP,"REALPAGE, INC.","WOLVERINE TRADING, LLC"
RPRX,"REPROS THERAPEUTICS","CITADEL SECURITIES LLC"
RPTP,"RAPTOR PHARMACEUTICA","SUSQUEHANNA SECURITIES"
RRC,"RANGE RES CORP","SUSQUEHANNA SECURITIES"
RRD,"RR DONNELLEY SONS","WOLVERINE TRADING, LLC"
RRGB,"RED ROBIN GOURM","*** No LMM ***"
RS,"RELIANCE STL & ALMN","WOLVERINE TRADING, LLC"
RSG,"REPUBLIC SVCS INC","GOLDMAN, SACHS & CO."
RSPP,"RSP PERMIAN, INC.","*** No LMM ***"
RT,"RUBY TUESDAY INC","*** No LMM ***"
RTN,"RAYTHEON CO (NEW)","SUSQUEHANNA SECURITIES"
RTRX,"RETROPHIN, INC. CMN","CITADEL SECURITIES LLC"
RUBI,"RUBICON PROJECT, INC","*** No LMM ***"
RUSL,"DXN DLY RSSA BULL 3X","*** No LMM ***"
RUSS,"DXN DLY RSSA BEAR 3X","*** No LMM ***"
RVLT,"REVOLUTION LGT TC","WOLVERINE TRADING, LLC"
RWT,"REDWOOD TR INC","WOLVERINE TRADING, LLC"
RY,"ROYAL BANK OF CANADA","*** No LMM ***"
RYAM,"RAYONIER ADVANCED MT","*** No LMM ***"
RYN,"RAYONIER INC REIT","MORGAN STANLEY & CO. LLC"
S,"SPRINT CORP","WOLVERINE TRADING, LLC"
SA,"SEABRIDGE GOLD INC","TIMBER HILL LLC"
SABR,"SABRE CORPORATION CM","*** No LMM ***"
SAFM,"SANDERSON FARMS IN","CITADEL SECURITIES LLC"
SALE,"RETAILMENOT, INC.","SUSQUEHANNA SECURITIES"
SAM,"BOSTON BEER CO INC","SUSQUEHANNA SECURITIES"
SAND,"SANDSTORM GOLD LTD.","SUSQUEHANNA SECURITIES"
SANM,"SANMINA CORP","SUSQUEHANNA SECURITIES"
SANW,"S&W SEED COMPANY","*** No LMM ***"
SAP,"SAP SE ADS","WOLVERINE TRADING, LLC"
SAVE,"SPIRIT AIRLINES, INC","MORGAN STANLEY & CO. LLC"
SB,"SAFE BULKERS, INC","MORGAN STANLEY & CO. LLC"
SBAC,"SBA COMMUNICATIONS","SUSQUEHANNA SECURITIES"
SBGI,"SINCLAIR BRDCST A","*** No LMM ***"
SBGL,"SIBANYE GOLD LTD","WOLVERINE TRADING, LLC"
SBNY,"SIGNATURE BANK","*** No LMM ***"
SBUX,"STARBUCKS CORP","SUSQUEHANNA SECURITIES"
SC,"SANTANDER CONSUMER","CITADEL SECURITIES LLC"
SCCO,"SOUTHERN COPPER CORP","WOLVERINE TRADING, LLC"
SCHL,"SCHOLASTIC CP","*** No LMM ***"
SCHN,"SCHNITZER STEEL A","*** No LMM ***"
SCHW,"CHARLES SCHWAB INC","SUSQUEHANNA SECURITIES"
SCI,"SERVICE CP INTL","*** No LMM ***"
SCMP,"SUCAMPO PHARMA. INC.","*** No LMM ***"
SCO,"PROSH BB CRUDE OIL","WOLVERINE TRADING, LLC"
SCON,"SUPERCONDUCTOR TECH","WOLVERINE TRADING, LLC"
SCS,"STEELCASE INC","*** No LMM ***"
SCSS,"SELECT COMFORT CP","WOLVERINE TRADING, LLC"
SCTY,"SOLARCITY CORPORATIO","SUSQUEHANNA SECURITIES"
SDLP,"SEADRILL PARTNERS","MORGAN STANLEY & CO. LLC"
SDR,"SANDRIDGE MSPIAN TRT","CITADEL SECURITIES LLC"
SDRL,"SEADRILL LTD","MORGAN STANLEY & CO. LLC"
SDS,"PT ULTRSHRT SP500 PS","WOLVERINE TRADING, LLC"
SDT,"SANDRIDGE MISSISSIPP","*** No LMM ***"
SE,"SPECTRA ENERGY","GOLDMAN, SACHS & CO."
SEAS,"SEAWORLD ENTERTAINME","CITADEL SECURITIES LLC"
SEDG,"SOLAREDGE TECH CMN","*** No LMM ***"
SEE,"SEALED AIR CP NEW","CITADEL SECURITIES LLC"
SEED,"ORIGIN AGRITECH LIMI","CITADEL SECURITIES LLC"
SEMG,"SEMGROUP CORP","*** No LMM ***"
SEP,"SPECTRA ENERGY UTS","*** No LMM ***"
SFL,"SHIP FINANCE INTL","WOLVERINE TRADING, LLC"
SFLY,"SHUTTERFLY, INC.","SUSQUEHANNA SECURITIES"
SFM,"SPROUTS FARMERS MARK","MORGAN STANLEY & CO. LLC"
SFUN,"SouFun Holdings Ltd","MORGAN STANLEY & CO. LLC"
SGEN,"SEATTLE GENETICS INC","MORGAN STANLEY & CO. LLC"
SGI,"SILICON GRAPHIC INTL","*** No LMM ***"
SGMO,"SANGAMO BIOSCIENCES","MORGAN STANLEY & CO. LLC"
SGMS,"SCIENTIFIC GAMES","WOLVERINE TRADING, LLC"
SGY,"STONE ENERGY CP","WOLVERINE TRADING, LLC"
SGYP,"SYNERGY PHARMA CMN","MORGAN STANLEY & CO. LLC"
SH,"SHRT S&P500 PROSHRS","SUSQUEHANNA SECURITIES"
SHAK,"SHAKE SHACK, INC.","*** No LMM ***"
SHLD,"SEARS HLDGS CORP","WOLVERINE TRADING, LLC"
SHLM,"SCHULMAN A INC","WOLVERINE TRADING, LLC"
SHLX,"SHELL MIDSTREAM PRTN","*** No LMM ***"
SHOO,"STEVEN MADDENS LTD","CITADEL SECURITIES LLC"
SHPG,"SHIRE PLC ADS","*** No LMM ***"
SHW,"SHERWIN WILLIAMS CO","SUSQUEHANNA SECURITIES"
SID,"COMPANHIA SIDER ADS","CITADEL SECURITIES LLC"
SIG,"SIGNET JEWELERS LTD","CITADEL SECURITIES LLC"
SIGM,"SIGMA DESIGNS INC","*** No LMM ***"
SIMO,"SILICON MOTION TECHN","MORGAN STANLEY & CO. LLC"
SINA,"SINA CORPORATION","WOLVERINE TRADING, LLC"
SIRI,"SIRIUS XM HOLDINGS I","GOLDMAN, SACHS & CO."
SIX,"SIX FLAGS ENTMNT CP","WOLVERINE TRADING, LLC"
SJM,"SMUCKERS J M NEW","SUSQUEHANNA SECURITIES"
SKF,"ULTRASHORT FINANCIAL","GOLDMAN, SACHS & CO."
SKUL,"SkullCandy, Inc.","*** No LMM ***"
SKX,"SKECHERS USA INC","SUSQUEHANNA SECURITIES"
SLAB,"SILICON LABS INC","*** No LMM ***"
SLB,"SCHLUMBERGER LTD","SUSQUEHANNA SECURITIES"
SLCA,"U.S. SILICA HLDGS","MORGAN STANLEY & CO. LLC"
SLG,"SL GREEN REALTY CP","*** No LMM ***"
SLM,"SLM CORPORATION","GOLDMAN, SACHS & CO."
SLV,"ISHARES SILVER TRUST","WOLVERINE TRADING, LLC"
SLW,"SILVER WHEATON CORP","WOLVERINE TRADING, LLC"
SM,"SM Energy Company","TIMBER HILL LLC"
SMCI,"SUPER MICRO COMPUTER","CITADEL SECURITIES LLC"
SMFG,"SUMITOMO MITSUI FIN","CITADEL SECURITIES LLC"
SMG,"SCOTTS MIRACLE-GR CO","WOLVERINE TRADING, LLC"
SMH,"MKT VECTORS SEMIS","TIMBER HILL LLC"
SMLP,"SUMMIT MIDSTREAM PRT","*** No LMM ***"
SN,"SANCHEZ ENERGY CORP","SUSQUEHANNA SECURITIES"
SNA,"SNAP ON INC","*** No LMM ***"
SNCR,"SYNCHRONOSS TECHNOLO","*** No LMM ***"
SNDK,"SANDISK CORPORATION","SUSQUEHANNA SECURITIES"
SNE,"SONY CP ADR","WOLVERINE TRADING, LLC"
SNI,"SCRIPPS NTWRKS INT A","*** No LMM ***"
SNMX,"SENOMYX, INC.","*** No LMM ***"
SNN,"SMITH&NEPHEW PLC NEW","SUSQUEHANNA SECURITIES"
SNSS,"SUNESIS PHARMACEUTIC","MORGAN STANLEY & CO. LLC"
SNTA,"SYNTA PHARMACEUTICAL","MORGAN STANLEY & CO. LLC"
SNV,"SYNOVUS FINL CP","CITADEL SECURITIES LLC"
SNX,"SYNNEX CORP","*** No LMM ***"
SNY,"SANOFI ADR","MORGAN STANLEY & CO. LLC"
SO,"SOUTHERN CO","SUSQUEHANNA SECURITIES"
SODA,"SODASTREAM INT LTD","MORGAN STANLEY & CO. LLC"
SOHU,"SOHU.COM INC","SUSQUEHANNA SECURITIES"
SOL,"RENESOLA LTD","WOLVERINE TRADING, LLC"
SONC,"SONIC CP","CITADEL SECURITIES LLC"
SONS,"SONUS NETWORKS INC","GOLDMAN, SACHS & CO."
SPG,"SIMON PPTY GRP INC","MORGAN STANLEY & CO. LLC"
SPLK,"SPLUNK INC.","SUSQUEHANNA SECURITIES"
SPLS,"STAPLES, INC.","TIMBER HILL LLC"
SPN,"SUPERIOR ENERGY SV","WOLVERINE TRADING, LLC"
SPNC,"SPECTRANETICS CP T","*** No LMM ***"
SPPI,"SPECTRUM PHARMA INC","MORGAN STANLEY & CO. LLC"
SPR,"SPIRIT AEROSYSTEMS H","WOLVERINE TRADING, LLC"
SPWR,"SUNPOWER CORPORATION","WOLVERINE TRADING, LLC"
SPXC,"SPX CORPORATION","WOLVERINE TRADING, LLC"
SPXL,"DIREXION S&P BULL 3X","SUSQUEHANNA SECURITIES"
SPXS,"DIREXION S&P500 BEAR","TIMBER HILL LLC"
SPXU,"PROSHARES","SUSQUEHANNA SECURITIES"
SPY,"SPDR S&P 500 ETF TRS","MORGAN STANLEY & CO. LLC"
SQ,"SQUARE, INC.","*** No LMM ***"
SQM,"SOCIEDAD DE CHILE SC","WOLVERINE TRADING, LLC"
SQNM,"SEQUENOM INC","GOLDMAN, SACHS & CO."
SQQQ,"PROSHRES ULTRPR SH Q","MORGAN STANLEY & CO. LLC"
SRE,"SEMPRA ENERGY","MORGAN STANLEY & CO. LLC"
SRNE,"SORRENTO THERPT CMN","*** No LMM ***"
SRPT,"SAREPTA THERAPEUTICS","CITADEL SECURITIES LLC"
SRS,"ULTRASHORT REAL ESTA","GOLDMAN, SACHS & CO."
SSE,"SEVENTY SEVEN ENERGY","*** No LMM ***"
SSH,"SUNSHINE HEART INC","*** No LMM ***"
SSNI,"SILVER SPRING NETWRK","CITADEL SECURITIES LLC"
SSO,"ULTRA S&P500 PROSHRS","SUSQUEHANNA SECURITIES"
SSRI,"SILVER STAND RES","*** No LMM ***"
SSTK,"SHUTTERSTOCK, INC.","*** No LMM ***"
SSW,"SEASPAN CORPORATION","CITADEL SECURITIES LLC"
SSYS,"STRATASYS, LTD.","MORGAN STANLEY & CO. LLC"
ST,"SENSATA TECH HOLDING","*** No LMM ***"
STAA,"STAAR SURGICAL CO","WOLVERINE TRADING, LLC"
STAR,"ISTAR INC.","WOLVERINE TRADING, LLC"
STAY,"EXTENDED STAY AMERCA","*** No LMM ***"
STI,"SUNTRUST BANKS","*** No LMM ***"
STJ,"ST. JUDE MEDICAL","GOLDMAN, SACHS & CO."
STKL,"SUNOPTA INC","*** No LMM ***"
STLD,"STEEL DYNAMICS INC","GOLDMAN, SACHS & CO."
STML,"STEMLINE THERAPEUTIC","*** No LMM ***"
STMP,"STAMPS.COM INC","*** No LMM ***"
STNG,"SCORPIO TANKERS INC.","*** No LMM ***"
STO,"STATOIL ASA","WOLVERINE TRADING, LLC"
STON,"STONEMOR LP UT","*** No LMM ***"
STR,"QUESTAR CP","CITADEL SECURITIES LLC"
STRP,"STRAIGHT PATH COMM","*** No LMM ***"
STRZA,"STARZ SERIES A","*** No LMM ***"
STT,"STATE STREET CP","SUSQUEHANNA SECURITIES"
STV,"CHINA DIG TV HDG ADS","*** No LMM ***"
STWD,"STARWOOD PROPERTY TR","*** No LMM ***"
STX,"SEAGATE TECH ORD SHS","WOLVERINE TRADING, LLC"
STZ,"CONSTELLATION BRD A","SUSQUEHANNA SECURITIES"
SU,"SUNCOR ENERGY INC","WOLVERINE TRADING, LLC"
SUN,"Sunoco LP","*** No LMM ***"
SUNE,"SunEdison, Inc.","MORGAN STANLEY & CO. LLC"
SUPN,"SUPERNUS PHARM","CITADEL SECURITIES LLC"
SVU,"SUPERVALU INC","WOLVERINE TRADING, LLC"
SVXY,"PROSHARES SHT VIX ST","SUSQUEHANNA SECURITIES"
SWC,"STILLWATER MNG CO","SUSQUEHANNA SECURITIES"
SWFT,"SWIFT TRANSPORTATION","TIMBER HILL LLC"
SWHC,"SMITH & WESSON","MORGAN STANLEY & CO. LLC"
SWIR,"SIERRA WIRELESS IN","MORGAN STANLEY & CO. LLC"
SWK,"STANLEY BLACK & DCKR","TIMBER HILL LLC"
SWKS,"SKYWORKS SOLUTIONS","CITADEL SECURITIES LLC"
SWN,"SOUTHWESTERN ENERGY","WOLVERINE TRADING, LLC"
SXC,"SUNCOKE ENERGY, INC","*** No LMM ***"
SXE,"SOUTHCROSS ENERGY LP","*** No LMM ***"
SXL,"SUNOCO LOG PTNRS LP","*** No LMM ***"
SYF,"Synchrony Financial","*** No LMM ***"
SYK,"STRYKER CP","MORGAN STANLEY & CO. LLC"
SYMC,"SYMANTEC CORPORATION","WOLVERINE TRADING, LLC"
SYNA,"SYNAPTICS INC","MORGAN STANLEY & CO. LLC"
SYRG,"SYNERGY RESOURCES CP","*** No LMM ***"
SYY,"SYSCO CP","CITADEL SECURITIES LLC"
SZMK,"SIZMEK INC COMMON ST","CITADEL SECURITIES LLC"
SZYM,"Solazyme, Inc.","CITADEL SECURITIES LLC"
T,"AT&T INC.","*** No LMM ***"
TA,"TRAVELCENTERS OF AME","*** No LMM ***"
TAHO,"TAHOE RES INC","*** No LMM ***"
TAL,"TAL INTERNATIONL GRP","WOLVERINE TRADING, LLC"
TAP,"MOLSON COORS CO CL B","SUSQUEHANNA SECURITIES"
TASR,"TASER INTL INC","MORGAN STANLEY & CO. LLC"
TAXI,"MEDALLION FIN CP","CITADEL SECURITIES LLC"
